,winery,wine,location,rating,price,wine_category,country,region,vintage,wine_style
124,Emilio Hidalgo,Villapanes Oloroso Seco N.V.,Spain_Oloroso Sherry,4.0,$74.99,Port,Spain,Oloroso Sherry,N.V.,Port
125,Churchill's,Vintage Port 2011,Portugal_Porto,4.5,$104.99,Port,Portugal,Porto,2011,Vintage
126,Ferreira,Late Bottled Vintage Port 2010,Portugal_Porto,3.9,$25.99,Port,Portugal,Porto,2010,Vintage
127,Warre's,Quinta da Cavadinha Vintage Port 2001,Portugal_Porto,4.1,$89.99,Port,Portugal,Porto,2001,Vintage
128,Smith Woodhouse,Lodge Reserve Porto N.V.,Portugal_Porto,3.8,$25.99,Port,Portugal,Porto,N.V.,Port
129,W. & J. Graham's,Vintage Port 2007,Portugal_Porto,4.5,$164.99,Port,Portugal,Porto,2007,Vintage
130,Henriques & Henriques,Malvasia 15 Years Old Madeira N.V.,Portugal_Madeira,4.1,$65.99,Port,Portugal,Madeira,N.V.,Port
131,Taylor's,Vintage Port 2007,Portugal_Porto,4.2,$99.99,Port,Portugal,Porto,2007,Vintage
132,Warre's,Vintage Port 1980,Portugal_Porto,4.4,$159.99,Port,Portugal,Porto,1980,Vintage
133,Smith Woodhouse,Late Bottled Vintage Port 2004,Portugal_Porto,4.1,$36.99,Port,Portugal,Porto,2004,Vintage
134,Quinta do Noval,Late Bottled Vintage Unfiltered Port 2013,Portugal_Porto,3.8,$26.99,Port,Portugal,Porto,2013,Vintage
135,Warre's,Vintage Port 1994,Portugal_Porto,4.4,$59.99,Port,Portugal,Porto,1994,Vintage
136,Henriques & Henriques,Malvasia 10 Years Old Madeira N.V.,Portugal_Madeira,4.1,$49.99,Port,Portugal,Madeira,N.V.,10
137,W. & J. Graham's,Vintage Port 2003,Portugal_Porto,4.3,$99.99,Port,Portugal,Porto,2003,Vintage
138,Quinta de Ventozelo,Vintage Port N.V.,Portugal_Porto,4.0,$29.99,Port,Portugal,Porto,N.V.,Vintage
139,Niepoort,Vintage Port 2003,Portugal_Porto,4.3,$75.99,Port,Portugal,Porto,2003,Vintage
140,Alvear,Pedro Ximénez de Añada 2015,Spain_Montilla-Moriles,3.9,$26.99,Port,Spain,Montilla-Moriles,2015,20
141,Emilio Hidalgo,El Tresillo Amontillado Fino N.V.,Spain_Amontillado Sherry,3.9,$79.99,Port,Spain,Amontillado Sherry,N.V.,Port
142,Broadbent,Madeira Colheita N.V.,Portugal_Madeira,4.2,$60,Port,Portugal,Madeira,N.V.,Colheita
143,Fonseca,Vintage Port 1985,Portugal_Porto,4.5,$192.99,Port,Portugal,Porto,1985,Vintage
144,Taylor's,Quinta de Vargellas Vintage Port 1998,Portugal_Porto,4.2,$63.99,Port,Portugal,Porto,1998,Vintage
145,Fonseca,40 Year Old Tawny Port N.V.,Portugal_Porto,4.6,$224.99,Port,Portugal,Porto,N.V.,Tawny
146,Taylor's,10 Year Old Tawny Port 2014,Portugal_Porto,3.9,$27.99,Port,Portugal,Porto,2014,Tawny
147,Lustau,Jerez-Xeres-Sherry 30 Year Old Palo Cortado VORS N.V.,Spain_Jerez-Xérès-Sherry,4.1,$109.99,Port,Spain,Jerez-Xérès-Sherry,N.V.,Sherry
148,Poças,30 Years Old Tawny Porto N.V.,Portugal_Porto,4.2,$69.99,Port,Portugal,Porto,N.V.,Tawny
149,Poças,10 Years Old Tawny Porto 2010,Portugal_Porto,3.7,$26.99,Port,Portugal,Porto,2010,Tawny
150,Dow's,10 Years Old Tawny Port 2010,Portugal_Porto,4.0,$35.99,Port,Portugal,Porto,2010,Tawny
151,Diez Mérito,Bertola Palo Cortado 12 Años N.V.,Spain_Palo Cortado Sherry,4.0,$42.99,Port,Spain,Palo Cortado Sherry,N.V.,Port
152,Dow's,Crusted Port N.V.,Portugal_Porto,4.0,$29.99,Port,Portugal,Porto,N.V.,Crusted
153,Messias,Porto 30 Anos N.V.,Portugal_Porto,4.3,$90.99,Port,Portugal,Porto,N.V.,Port
154,D'Oliveiras,Terrantez Madeira 1988,Portugal_Madeira,4.3,$189.99,Port,Portugal,Madeira,1988,Port
155,Valdespino,Single Vineyard Palo Cortado Viejo C.P Dry N.V.,Spain_Palo Cortado Sherry,4.2,$44.99,Port,Spain,Palo Cortado Sherry,N.V.,Port
156,Fonseca,Vintage Port 2011,Portugal_Porto,4.6,$99.99,Port,Portugal,Porto,2011,Vintage
157,Taylor's,10 Year Old Tawny Port 2010,Portugal_Porto,4.1,$33.99,Port,Portugal,Porto,2010,Tawny
158,Rozès,Over 40 Years Old Porto N.V.,Portugal_Porto,4.6,$157.99,Port,Portugal,Porto,N.V.,40
159,Bodegas Yuste,La Kika Manzanilla Sherry N.V.,Spain_Manzanilla,3.9,$34.99,Port,Spain,Manzanilla,N.V.,Sherry
160,Quinta do Noval,Vintage Port 2003,Portugal_Porto,4.5,$97.99,Port,Portugal,Porto,2003,Vintage
161,Henriques & Henriques,Bual 15 Years Old Madeira N.V.,Portugal_Madeira,4.2,$74.99,Port,Portugal,Madeira,N.V.,Port
162,Broadbent,Madeira Colheita 1996,Portugal_Madeira,4.2,$59.97,Port,Portugal,Madeira,1996,Colheita
163,Quinta da Romaneira,Late Bottled Vintage Port Unfiltered 2012,Portugal_Porto,3.9,$25.29,Port,Portugal,Porto,2012,Vintage
164,Dow's,Vintage Port 2003,Portugal_Porto,4.4,$130.99,Port,Portugal,Porto,2003,Vintage
165,W. & J. Graham's,Vintage Port 2016,Portugal_Porto,4.3,$119.97,Port,Portugal,Porto,2016,Vintage
166,Diez Mérito,Bertola 12 Year Old Amontillado Sherry N.V.,Spain_Amontillado Sherry,3.8,$39.99,Port,Spain,Amontillado Sherry,N.V.,Sherry
167,Williams & Humbert,Dry Sack Fino N.V.,Spain_Fino Sherry,2.9,$34.99,Port,Spain,Fino Sherry,N.V.,Port
168,Fonseca,Vintage Port 2009,Portugal_Porto,4.2,$146.99,Port,Portugal,Porto,2009,Vintage
169,Dow's,Boardroom Reserve Tawny Port N.V.,Portugal_Porto,3.9,$25.99,Port,Portugal,Porto,N.V.,Tawny
170,Ferreira,Vintage Port 2011,Portugal_Porto,4.5,$84.99,Port,Portugal,Porto,2011,Vintage
171,Ramos Pinto,Vintage Porto 1982,Portugal_Porto,4.5,$135.99,Port,Portugal,Porto,1982,Vintage
172,Lustau,Jerez-Xeres-Sherry 30 Year Old Amontillado VORS N.V.,Spain_Jerez-Xérès-Sherry,4.2,$109.99,Port,Spain,Jerez-Xérès-Sherry,N.V.,Sherry
173,Warre's,Vintage Port 2000,Portugal_Porto,4.2,$76.99,Port,Portugal,Porto,2000,Vintage
174,Warre's,Vintage Port 2011,Portugal_Porto,4.3,$99.99,Port,Portugal,Porto,2011,Vintage
175,C. da Silva,Presidential 20 Years Old Porto N.V.,Portugal_Porto,4.2,$59.99,Port,Portugal,Porto,N.V.,20
176,Quinta do Vale Meão,Vintage Port 2012,Portugal_Porto,4.3,$70.99,Port,Portugal,Porto,2012,Vintage
177,Churchill's,Vintage Port 2003,Portugal_Porto,4.1,$99.99,Port,Portugal,Porto,2003,Vintage
178,Niepoort,Vintage Port 2015,Portugal_Porto,4.1,$89.99,Port,Portugal,Porto,2015,Vintage
179,Fonseca,Vintage Port 2003,Portugal_Porto,4.3,$86.99,Port,Portugal,Porto,2003,Vintage
180,Offley,Vintage Port Boa Vista 2000,Portugal_Porto,4.0,$49.99,Port,Portugal,Porto,2000,Vintage
181,Alvear,Fino Capataz N.V.,Spain_Montilla-Moriles,3.5,$35.99,Port,Spain,Montilla-Moriles,N.V.,Port
182,Taylor's,Vintage Port 2016,Portugal_Porto,4.4,$111.94,Port,Portugal,Porto,2016,Vintage
183,Dow's,Boardroom Finest Old Tawny Port N.V.,Portugal_Porto,3.8,$29.99,Port,Portugal,Porto,N.V.,Tawny
184,Cockburn's,Vintage Port 2011,Portugal_Porto,4.4,$74.99,Port,Portugal,Porto,2011,Vintage
185,Fonseca,Vintage Port 1994,Portugal_Porto,4.6,$380.99,Port,Portugal,Porto,1994,Vintage
186,Dow's,40 Years Old Tawny Port N.V.,Portugal_Porto,4.5,$187.99,Port,Portugal,Porto,N.V.,Tawny
187,Bodegas Dios Baco,Elite Amontillado N.V.,Spain_Amontillado Sherry,4.1,$31.99,Port,Spain,Amontillado Sherry,N.V.,Port
188,Fonseca,Guimaraens Vintage Port 2015,Portugal_Porto,4.1,$49.99,Port,Portugal,Porto,2015,Vintage
189,Fonseca,Vintage Port 2007,Portugal_Porto,4.4,$109.99,Port,Portugal,Porto,2007,Vintage
190,Niepoort,Colheita Port 2007,Portugal_Porto,4.1,$49.99,Port,Portugal,Porto,2007,Colheita
191,Quinta de La Rosa,Vintage Port 2011,Portugal_Porto,4.2,$85.99,Port,Portugal,Porto,2011,Vintage
192,Williams & Humbert,Pando Fino N.V.,Spain_Fino Sherry,3.2,$25.99,Port,Spain,Fino Sherry,N.V.,Port
193,Quinta do Vale Meão,Vintage Port 2013,Portugal_Porto,4.2,$89.99,Port,Portugal,Porto,2013,Vintage
194,Taylor's,Vintage Port 2017,Portugal_Porto,4.3,$99.99,Port,Portugal,Porto,2017,Vintage
195,Alvear,Solera 1830 Pedro Ximénez N.V.,Spain_Montilla-Moriles,4.5,$199.99,Port,Spain,Montilla-Moriles,N.V.,Port
196,Quinta do Noval,Vintage Port 2015,Portugal_Porto,4.3,$87.99,Port,Portugal,Porto,2015,Vintage
197,Croft,Vintage Port 2007,Portugal_Porto,4.0,$130.99,Port,Portugal,Porto,2007,Vintage
198,Niepoort,Porto 10 Years Old Tawny 2010,Portugal_Porto,4.0,$45,Port,Portugal,Porto,2010,Tawny
199,Osborne,Jerez-Xeres-Sherry Amontillado Solera AOS N.V.,Spain_Jerez-Xérès-Sherry,4.1,$379.99,Port,Spain,Jerez-Xérès-Sherry,N.V.,Sherry
200,Broadbent,Madeira 10 Years Old Verdelho N.V.,Portugal_Madeira,4.0,$49.99,Port,Portugal,Madeira,N.V.,10
201,Maynard's,30 Years Old Aged Tawny Porto N.V.,Portugal_Porto,4.3,$54.99,Port,Portugal,Porto,N.V.,Tawny
202,Bodegas Dios Baco,Buleria Fino N.V.,Spain_Fino Sherry,3.3,$28.99,Port,Spain,Fino Sherry,N.V.,Port
203,Quinta do Noval,Vintage Port 2017,Portugal_Porto,4.6,$119.99,Port,Portugal,Porto,2017,Vintage
204,Fonseca,Quinta do Panascal Vintage Port 2005,Portugal_Porto,4.2,$57.99,Port,Portugal,Porto,2005,Vintage
205,Croft,Vintage Port 1994,Portugal_Porto,4.3,$140.99,Port,Portugal,Porto,1994,Vintage
