,winery,wine,location,rating,price,wine_category,country,region,vintage,wine_style
134,Bruno Paillard,Blanc de Blancs Brut Champagne N.V.,France_Champagne,4.3,$86.99,Sparkling,France,Champagne,N.V.,Brut
135,Egly-Ouriet,Rosé Brut Champagne Grand Cru 'Ambonnay' N.V.,France_Champagne Grand Cru 'Ambonnay',4.3,$119.99,Sparkling,France,Champagne Grand Cru 'Ambonnay',N.V.,Brut
136,Pol Roger,Brut Champagne (Extra Cuvée de Réserve) 2012,France_Champagne,4.3,$119.99,Sparkling,France,Champagne,2012,Brut
137,Nicolas Feuillatte,Palmes d'Or Vintage Brut Champagne 2006,France_Champagne,4.3,$119.99,Sparkling,France,Champagne,2006,Brut
138,Louis Roederer,Brut Champagne (Vintage) 2009,France_Champagne,4.3,$71.49,Sparkling,France,Champagne,2009,Brut
139,Caposaldo,Moscato N.V.,Italy_Provincia di Pavia,4.3,$11.99,Sparkling,Italy,Provincia di Pavia,N.V.,Moscato
140,Perrier-Jouët,Belle Epoque Brut Champagne 2012,France_Champagne,4.3,$129,Sparkling,France,Champagne,2012,Brut
141,Deutz,Blanc de Blancs Brut Champagne 2011,France_Champagne,4.3,$79.99,Sparkling,France,Champagne,2011,Brut
142,Lallier,Millésime Brut Collection Mémoire Champagne Grand Cru 'Aÿ' N.V.,France_Champagne Grand Cru 'Aÿ',4.3,$76.98,Sparkling,France,Champagne Grand Cru 'Aÿ',N.V.,Brut
143,Ca' del Bosco,Dosage Zéro Franciacorta (Vintage Collection) 2014,Italy_Franciacorta,4.3,$79.99,Sparkling,Italy,Franciacorta,2014,Sparkling
144,Charles Heidsieck,Brut Millésime Rosé Champagne 2005,France_Champagne,4.3,$139,Sparkling,France,Champagne,2005,Brut
145,H. Goutorbe,Special Club Brut Champagne Grand Cru 'Aÿ' 2006,France_Champagne Grand Cru 'Aÿ',4.3,$99.99,Sparkling,France,Champagne Grand Cru 'Aÿ',2006,Brut
146,Paul-Etienne Saint Germain,Divine St Germain Brut Champagne Grand Cru N.V.,France_Champagne Grand Cru,4.3,$74.99,Sparkling,France,Champagne Grand Cru,N.V.,Brut
147,Buena Vista,La Victoire Brut Champagne N.V.,France_Champagne,4.3,$39.99,Sparkling,France,Champagne,N.V.,Brut
148,Beau Joie,Brut Rosé Champagne (Special Cuvée) N.V.,France_Champagne,4.3,$119.99,Sparkling,France,Champagne,N.V.,Brut
149,Nicolas Feuillatte,Palmes d'Or Vintage Brut Champagne 1998,France_Champagne,4.3,$119.99,Sparkling,France,Champagne,1998,Brut
150,Boizel,Joyau de France Brut Champagne 2000,France_Champagne,4.3,$149.99,Sparkling,France,Champagne,2000,Brut
151,Thienot,Cuvée Alain Thienot Champagne 2002,France_Champagne,4.3,$132.99,Sparkling,France,Champagne,2002,Champagne
152,Ruinart,Blanc de Blancs Brut Champagne 2006,France_Champagne,4.3,$169.99,Sparkling,France,Champagne,2006,Brut
153,Marc Hébrart,Spécial Club Brut Champagne Premier Cru 2012,France_Champagne Premier Cru,4.3,$279.99,Sparkling,France,Champagne Premier Cru,2012,Brut
154,Geoffroy,Volupté Brut Champagne Premier Cru 2009,France_Champagne Premier Cru,4.3,$87.99,Sparkling,France,Champagne Premier Cru,2009,Brut
155,Laurent-Perrier,Blanc de Blancs Brut Nature N.V.,France_Champagne,4.3,$79.99,Sparkling,France,Champagne,N.V.,Brut
156,Louis Roederer,Cristal Brut Champagne (Millésimé) 2012,France_Champagne,4.3,$329.99,Sparkling,France,Champagne,2012,Brut
157,Charles Heidsieck,Millesimé Brut Champagne 2008,France_Champagne,4.3,$115,Sparkling,France,Champagne,2008,Brut
158,Sea Smoke,Sea Spray Blanc de Noirs 2011,United States_Sta. Rita Hills,4.3,$99.99,Sparkling,United States,Sta. Rita Hills,2011,Blanc de Noir
159,Drappier,Grande Sendrée Champagne Brut 2009,France_Champagne,4.3,$119,Sparkling,France,Champagne,2009,Brut
160,Agrapart & Fils,Expérience Brut Champagne N.V.,France_Champagne,4.3,$219.98,Sparkling,France,Champagne,N.V.,Brut
161,Collon,Brut Champagne N.V.,France_Champagne,4.3,$47.99,Sparkling,France,Champagne,N.V.,Brut
162,Chapel Down,Three Graces 2011,United Kingdom_Kent,4.3,$69.99,Sparkling,United Kingdom,Kent,2011,Sparkling
163,Vilmart & Cie,Cœur de Cuvée Champagne Premier Cru 2011,France_Champagne Premier Cru,4.3,$183.99,Sparkling,France,Champagne Premier Cru,2011,Champagne
164,Larmandier-Bernier,Les Chemins Champagne Grand Cru 'Avize' 2012,France_Champagne Grand Cru 'Avize',4.3,$170.99,Sparkling,France,Champagne Grand Cru 'Avize',2012,Champagne
165,Moët & Chandon,Brut Rosé Champagne N.V.,France_Champagne,4.3,$54.99,Sparkling,France,Champagne,N.V.,Brut
166,Geoffroy,Terre Millésime Extra Brut Champagne Premier Cru 2006,France_Champagne Premier Cru,4.3,$149.99,Sparkling,France,Champagne Premier Cru,2006,Brut
167,Pierre Gimonnet & Fils,Millésimé de Collection Vieilles Vignes de Chardonnay Brut Champagne 2006,France_Champagne,4.3,$239.99,Sparkling,France,Champagne,2006,Brut
168,Argyle,Extended Tirage Brut 2007,United States_Willamette Valley,4.3,$69.98,Sparkling,United States,Willamette Valley,2007,Brut
169,Drappier,Grande Sendrée Brut Rosé Champagne 2010,France_Champagne,4.3,$153.99,Sparkling,France,Champagne,2010,Brut
170,Villa Rosa,Asti N.V.,Italy_Asti,4.3,$14.99,Sparkling,Italy,Asti,N.V.,Sparkling
171,Soter Vineyards,Mineral Springs Brut Rosé 2014,United States_Yamhill-Carlton District,4.3,$76.99,Sparkling,United States,Yamhill-Carlton District,2014,Brut
172,De Venoge,Grand Vin des Princes Brut Champagne 1992,France_Champagne,4.3,$275,Sparkling,France,Champagne,1992,Brut
173,Caraccioli Cellars,Brut Rosé 2012,United States_Santa Lucia Highlands,4.3,$59.99,Sparkling,United States,Santa Lucia Highlands,2012,Brut
174,Veuve Clicquot,Brut (Carte Jaune) Champagne N.V.,France_Champagne,4.2,$45.98,Sparkling,France,Champagne,N.V.,Brut
175,Louis Roederer,Brut Premier Champagne N.V.,France_Champagne Premier Cru,4.2,$39.82,Sparkling,France,Champagne Premier Cru,N.V.,Brut
176,Bollinger,Special Cuvée Brut Aÿ Champagne N.V.,France_Champagne,4.2,$54.93,Sparkling,France,Champagne,N.V.,Brut
177,Pol Roger,Réserve Brut Champagne N.V.,France_Champagne,4.2,$42.99,Sparkling,France,Champagne,N.V.,Brut
178,Billecart-Salmon,Brut Réserve Champagne N.V.,France_Champagne,4.2,$42.99,Sparkling,France,Champagne,N.V.,Brut
179,Moët & Chandon,Grand Vintage Brut Champagne N.V.,France_Champagne,4.2,$69.94,Sparkling,France,Champagne,N.V.,Brut
180,Roscato,Rosso Dolce (Sweet Red) N.V.,Italy_Provincia di Pavia,4.2,$10.95,Sparkling,Italy,Provincia di Pavia,N.V.,Sparkling
181,Moët & Chandon,Nectar Impérial (Demi-Sec) Champagne N.V.,France_Champagne,4.2,$49.98,Sparkling,France,Champagne,N.V.,Demi-Sec
182,Moët & Chandon,Ice Impérial (Demi-Sec) Champagne N.V.,France_Champagne,4.2,$62.99,Sparkling,France,Champagne,N.V.,Demi-Sec
183,Louis Roederer,Rosé Brut Champagne (Vintage) N.V.,France_Champagne,4.2,$70.39,Sparkling,France,Champagne,N.V.,Brut
184,Bollinger,Rosé Brut Champagne N.V.,France_Champagne,4.2,$79.99,Sparkling,France,Champagne,N.V.,Brut
185,Perrier-Jouët,Blason Rosé Brut Champagne N.V.,France_Champagne,4.2,$64.94,Sparkling,France,Champagne,N.V.,Brut
186,Taittinger,Brut La Francaise Champagne N.V.,France_Champagne,4.2,$34.95,Sparkling,France,Champagne,N.V.,Brut
187,Cupcake,Moscato d'Asti N.V.,Italy_Moscato d'Asti,4.2,$10.99,Sparkling,Italy,Moscato d'Asti,N.V.,Moscato
188,Veuve Clicquot,Demi-Sec Champagne N.V.,France_Champagne,4.2,$54.98,Sparkling,France,Champagne,N.V.,Demi-Sec
189,Risata,Moscato d'Asti N.V.,Italy_Moscato d'Asti,4.2,$14.99,Sparkling,Italy,Moscato d'Asti,N.V.,Moscato
190,Veuve Clicquot,Vintage Brut Champagne N.V.,France_Champagne,4.2,$84.99,Sparkling,France,Champagne,N.V.,Brut
191,I Vignaioli di S. Stefano,Moscato d'Asti N.V.,Italy_Moscato d'Asti,4.2,$24.99,Sparkling,Italy,Moscato d'Asti,N.V.,Moscato
192,Taittinger,Prélude Grands Crus Brut Champagne N.V.,France_Champagne,4.2,$79.90,Sparkling,France,Champagne,N.V.,Brut
193,Vietti,Cascinetta Moscato d'Asti N.V.,Italy_Moscato d'Asti,4.2,$16.49,Sparkling,Italy,Moscato d'Asti,N.V.,Moscato
