,winery,wine,rating,wine_style,wine_category,vintage,region,country,price,contact_for_price,wine_style_code,wine_category_code,region_code,country_code
29845,Gramona,Cava La Cuvee Gran Reserva N.V.,3.8,Cuvee,Sparkling,N.V.,Cava,Spain,21.99,,26,4,151,32
29846,Schild Estate,Sparkling Shiraz N.V.,3.8,Sparkling,Sparkling,N.V.,Barossa Valley,Australia,24.99,,77,4,76,2
29847,Champalou,Brut N.V.,3.8,Brut,Sparkling,N.V.,Vouvray,France,23.99,,13,4,927,12
29848,La Tordera,Gabry N.V.,3.8,Sparkling,Sparkling,N.V.,San Martino della Battaglia,Italy,14.99,,77,4,768,19
29849,Flor,Prosecco N.V.,3.8,Prosecco,Sparkling,N.V.,Prosecco,Italy,16.99,,60,4,672,19
29850,Albert Bichot,Crémant de Bourgogne Brut Rosé N.V.,3.8,Crémant,Sparkling,N.V.,Crémant de Bourgogne,France,26.99,,25,4,296,12
29851,Charles de Cazanove,Tradition Brut Rosé Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,46.99,,13,4,192,12
29852,Ca' Furlan,Cuvée Beatrice Prosecco N.V.,3.8,Prosecco,Sparkling,N.V.,Prosecco,Italy,13.99,,60,4,672,19
29853,Josh,Prosecco N.V.,3.8,Prosecco,Sparkling,N.V.,Veneto,Italy,14.29,,60,4,887,19
29854,Joseph Perrier,Brut Rosé Champagne (Cuvée Royale) N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,68.99,,13,4,192,12
29855,Chandon,Sweet Star N.V.,3.8,Sparkling,Sparkling,N.V.,California,United States,18.99,,77,4,132,36
29856,Bisol,Crede Valdobbiadene Prosecco Superiore Brut 2017,3.8,Brut,Sparkling,2017,Conegliano-Valdobbiadene Prosecco,Italy,23.0,,13,4,262,19
29857,Schlumberger,Grüner Veltliner Brut N.V.,3.8,Brut,Sparkling,N.V.,Wien,Austria,31.99,,13,4,943,3
29858,Francis Ford Coppola,Sofia Blanc de Blancs 2017,3.8,Blanc de Blanc,Sparkling,2017,Monterey County,United States,17.99,,8,4,538,36
29859,Terrazze dell Etna,Rosé Brut N.V.,3.8,Brut,Sparkling,N.V.,Terre Siciliane,Italy,39.99,,13,4,835,19
29860,Veuve Ambal,Crémant de Bourgogne Brut Prestige N.V.,3.8,Crémant,Sparkling,N.V.,Crémant de Bourgogne,France,21.99,,25,4,296,12
29861,Primaterra,Prosecco N.V.,3.8,Prosecco,Sparkling,N.V.,Prosecco,Italy,12.99,,60,4,672,19
29862,Conundrum,Sparkling (Blanc de Blanc) 2016,3.8,Blanc de Blanc,Sparkling,2016,California,United States,22.99,,8,4,132,36
29863,Pierre Brigandat & Fils,Tradition Brut Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,54.0,,13,4,192,12
29864,Trouillard,Extra Sélection Brut Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,26.99,,13,4,192,12
