,winery,wine,location,rating,price
1084,Raúl Pérez,Muti Albariño 2012,"Spain
·
Rías Baixas",3.9,$43.99
1085,Domaine Barraud,Pouilly-Fuissé Vieilles Vignes 'La Verchère' 2015,"France
·
Pouilly-Fuissé",4.3,$43.99
1086,Ramey,Russian River Valley Chardonnay 2017,"United States
·
Russian River Valley",4.1,$43.99
1087,Pietradolce,Archineri Etna Bianco 2018,"Italy
·
Etna",3.9,$43.99
1088,Château de Montfaucon,Côtes du Rhône Comtesse Madeleine 2015,"France
·
Côtes-du-Rhône",3.7,$43.99
1089,Matthiasson,White 2017,"United States
·
Napa Valley",4.2,$43.99
1090,MacRostie,Wildcat Mountain Vineyard Chardonnay 2016,"United States
·
Sonoma Coast",4.2,$43.99
1091,La Scolca,Gavi dei Gavi (Black label) 2017,"Italy
·
Gavi",4.1,$43.99
1092,Albert Mann,Pinot Gris Grand Cru Furstentum N.V.,"France
·
Alsace Grand Cru 'Furstentum'",4.1,$43.99
1093,Calera,Viognier Mt. Harlan N.V.,"United States
·
Mount Harlan",3.9,$43.99
1094,Sixto,Frenchman Hills Chardonnay N.V.,"United States
·
Columbia Valley",4.2,$43.99
1095,Alzinger,Smaragd Mühlpoint Grüner Veltliner N.V.,"Austria
·
Wachau",3.9,$43.99
1096,Domaine Testut,Chablis Premier Cru 'Montee de Tonnerre' N.V.,"France
·
Chablis 1er Cru 'Montee de Tonnerre'",4.0,$43.99
1097,Ellman Family Vineyards,Caryn Renae Sauvignon Blanc N.V.,"United States
·
Napa Valley",3.9,$43.99
1098,Walter Hansel,Cuvée Alyce Chardonnay N.V.,"United States
·
Russian River Valley",4.2,$43.99
1099,Benjamin Leroux,Saint-Romain 'Sous le Château' 2017,"France
·
Saint-Romain",4.1,$43.99
1100,Recanati,Special Reserve White 2014,"Israel
·
Galilee",4.1,$43.99
1101,ZD Wines,Chardonnay 2016,"United States
·
California",4.3,$43.99
1102,Planeta,Chardonnay 2018,"Italy
·
Menfi",4.2,$43.99
1103,Domaine des Malandes,Chablis Premier Cru 'Mont de Milieu' N.V.,"France
·
Chablis 1er Cru 'Mont de Milieu'",3.9,$43.98
1104,Spottswoode,Sauvignon Blanc 2018,"United States
·
North Coast",4.0,$43.98
1105,La Scolca,Gavi dei Gavi (Black label) 2018,"Italy
·
Gavi",4.2,$43.98
1106,Pierre Usseglio,Châteauneuf-Du-Pape Blanc N.V.,"France
·
Châteauneuf-du-Pape",4.0,$43.98
1107,Forman,Chardonnay N.V.,"United States
·
Napa Valley",4.0,$43.98
1108,La Scolca,Gavi dei Gavi (Black label) N.V.,"Italy
·
Gavi",4.0,$43.98
1109,Spottswoode,Sauvignon Blanc N.V.,"United States
·
North Coast",4.1,$43.98
1110,Jean et Sébastien Dauvissat,Chablis 1er Cru 'Séchet' N.V.,"France
·
Chablis 1er Cru 'Secher'",3.8,$43.98
1111,Cakebread,Chardonnay N.V.,"United States
·
Napa Valley",4.2,$43.98
1112,Minuty,Blanc et Or 2018,"France
·
Côtes de Provence",4.1,$42.99
1113,Mayer am Pfarrplatz,Wiener Gemischter Nussberg 2018,"Austria
·
Wiener Gemischter Satz",3.9,$42.99
1114,Mayer am Pfarrplatz,Wiener Gemischter Nussberg 2015,"Austria
·
Wiener Gemischter Satz",3.7,$42.99
1115,Domaine des Gerbeaux,Pouilly-Fuissé Vieilles Vignes Terroirs de Solutré 2018,"France
·
Pouilly-Fuissé",4.3,$42.99
1116,Mantlerhof,Roter Veltliner Reisenthal 2016,"Austria
·
Kremstal",3.9,$42.99
1117,Martinelli,Bella Vigna Chardonnay 2014,"United States
·
Sonoma Coast",4.0,$42.99
1118,Domaine de Montille,Bourgogne Blanc 2016,"France
·
Bourgogne",4.0,$42.99
1119,Liquid Farm,Chardonnay La Hermana 2016,"United States
·
Santa Maria Valley",4.2,$42.99
1120,RoseRock,Chardonnay N.V.,"United States
·
Eola-Amity Hills",3.8,$42.99
1121,Savage,White 2017,"South Africa
·
Western Cape",4.1,$42.99
1122,Domaine Laurent Cognard,Montagny Premier Cru 'Les Bassets' 2016,"France
·
Montagny 1er Cru 'Les Bassets'",4.1,$42.99
1123,Elena Walch,Vigna Kastelaz Gewürztraminer 2017,"Italy
·
Südtirol - Alto Adige",4.2,$42.99
1124,MacRostie,Wildcat Mountain Vineyard Chardonnay 2015,"United States
·
Sonoma Coast",4.1,$42.99
1125,MacRostie,Wildcat Mountain Vineyard Chardonnay 2015,"United States
·
Sonoma Coast",4.1,$42.99
1126,Hirsch,Ried Gaisberg Grüner Veltliner 2017,"Austria
·
Kamptal",3.8,$42.99
1127,Penfolds,Bin 51 Riesling 2018,"Australia
·
Eden Valley",3.6,$42.99
1128,Cave de Ribeauville,Riesling Alsace Grand Cru 'Osterberg' 2012,"France
·
Alsace Grand Cru 'Osterberg'",3.9,$42.99
1129,Roger Sabon,Châteauneuf-Du-Pape Renaissance 2014,"France
·
Châteauneuf-du-Pape",3.7,$42.99
1130,Fournier Pere & Fils,Grand Fumé Pouilly-Fumé 2015,"France
·
Pouilly-Fumé",4.0,$42.99
1131,Les Héritiers du Comte Lafon,Clos du Four Mâcon-Milly-Lamartine 2017,"France
·
Mâcon-Milly-Lamartine",4.2,$42.99
1132,Ramey,Russian River Valley Chardonnay 2014,"United States
·
Russian River Valley",4.1,$42.99
