,winery,wine,location,rating,price,wine_category,country,region,vintage,wine_style
172,Beaulieu Vineyard (BV),Tapestry Reserve Red Blend N.V.,United States_Napa Valley,4.2,$39.94,red,United States,Napa Valley,N.V.,Blend
173,Mastroberardino,Taurasi Riserva Radici N.V.,Italy_Taurasi,4.2,$65.98,red,Italy,Taurasi,N.V.,Blend
174,Château Fleur Cardinale,Saint-Émilion Grand Cru (Grand Cru Classé) N.V.,France_Saint-Émilion Grand Cru,4.1,$51.99,red,France,Saint-Émilion Grand Cru,N.V.,Blend
175,E. Guigal,Château d'Ampuis Côte-Rôtie N.V.,France_Côte-Rôtie,4.2,$150,red,France,Côte-Rôtie,N.V.,Blend
176,Caymus,Cabernet Sauvignon 2017,United States_Napa Valley,4.5,$84.85,red,United States,Napa Valley,2017,Cabernet Sauvignon
177,Tikal,Amorío Malbec N.V.,Argentina_Mendoza,4.1,$31.89,red,Argentina,Mendoza,N.V.,Malbec
178,Fèlsina,Fontalloro N.V.,Italy_Toscana,4.1,$60.49,red,Italy,Toscana,N.V.,Blend
179,Beringer,Private Reserve Cabernet Sauvignon N.V.,United States_Napa Valley,4.4,$153.99,red,United States,Napa Valley,N.V.,Cabernet Sauvignon
180,Tenuta Sette Ponti,Oreno Toscana N.V.,Italy_Toscana,4.2,$76.43,red,Italy,Toscana,N.V.,Blend
181,Substance,Cabernet Sauvignon (Cs) 2014,United States_Columbia Valley,3.8,$49.99,red,United States,Columbia Valley,2014,Cabernet Sauvignon
182,Valenciso,Rioja Reserva N.V.,Spain_Rioja,4.1,$39.59,red,Spain,Rioja,N.V.,Rioja
183,La Poderina,Brunello di Montalcino N.V.,Italy_Brunello di Montalcino,4.1,$43.98,red,Italy,Brunello di Montalcino,N.V.,Brunello
184,Hamilton Russell Vineyards,Pinot Noir N.V.,South Africa_Hemel-en-Aarde Valley,4.1,$49.48,red,South Africa,Hemel-en-Aarde Valley,N.V.,Pinot Noir
185,Château La Dominique,Saint-Émilion Grand Cru (Grand Cru Classé) N.V.,France_Saint-Émilion Grand Cru,4.0,$54.99,red,France,Saint-Émilion Grand Cru,N.V.,Blend
186,Paul Jaboulet Aîné,Crozes-Hermitage Domaine de Thalabert N.V.,France_Crozes-Hermitage,4.0,$32.98,red,France,Crozes-Hermitage,N.V.,Blend
187,R. López de Heredia Viña Tondonia,Viña Tondonia Reserva 2005,Spain_Rioja,4.1,$43.99,red,Spain,Rioja,2005,Blend
188,Chateau Montelena,The Montelena Estate Cabernet Sauvignon N.V.,United States_Calistoga,4.4,$164.98,red,United States,Calistoga,N.V.,Cabernet Sauvignon
189,Mollydooker,Two Left Feet Red Blend N.V.,Australia_McLaren Vale,4.1,$32.99,red,Australia,McLaren Vale,N.V.,Blend
190,Tenuta Campo al Mare,Bolgheri Rosso N.V.,Italy_Bolgheri,3.9,$28.59,red,Italy,Bolgheri,N.V.,Blend
191,Ornellaia,Le Volte 2016,Italy_Toscana,3.9,$39.99,red,Italy,Toscana,2016,Blend
